File Creation Date,2026-01-27
Sampling Location,Around 2km offshore of 2F site (T-S7) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/2/24,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/24,Microstomus achne (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/1/20,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/1/20,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2023/1/20,Microstomus achne (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/1/20,Greenling (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/1/20,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/1/20,Flatfish (muscle),Cs-137,,5.3,Bq/kg-fresh
2023/1/20,Microstomus achne (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/1/20,Greenling (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/1/20,Flatfish (muscle),H-3:TFWT,0.071,,Bq/L
2023/1/20,Flatfish (muscle),H-3:TFWT,0.057,,Bq/kg-fresh
2023/1/20,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/1/20,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2023/1/12,Stone flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/1/12,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
