File Creation Date,2025-04-17
Sampling Location,Around 4km offshore of Kumagawa (T-S8) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/5/10,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/5/10,Microstomus achne (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/5/10,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/5/10,Blue crab (whole),Cs-134,,3.6,Bq/kg-fresh
2023/5/10,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/10,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/5/10,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/10,Stone flounder (muscle),Cs-137,,4.4,Bq/kg-fresh
2023/5/10,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/10,Microstomus achne (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/10,Japanese angel shark  (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/10,Blue crab (whole),Cs-137,,3.6,Bq/kg-fresh
2023/5/10,Flatfish (muscle),H-3:TFWT,0.064,,Bq/L
2023/5/10,Flatfish (muscle),H-3:TFWT,0.049,,Bq/kg-fresh
2023/5/10,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/5/10,Flatfish (muscle),H-3:OBT,,0.042,Bq/kg-fresh
2023/3/23,Roundnose flounder (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/3/23,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/3/23,Microstomus achne (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/3/23,Greenling (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/3/23,Roundnose flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/3/23,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/3/23,Microstomus achne (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/3/23,Greenling (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/3/10,Sea bass (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/3/10,Sea bass (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/1/13,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/1/13,Stone flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/1/13,Yellow goosefish (whole),Cs-134,,3.8,Bq/kg-fresh
2023/1/13,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/1/13,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/1/13,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/1/13,Flathead (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/1/13,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/1/13,Stone flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/1/13,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2023/1/13,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/1/13,Searobin (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/1/13,Japanese angel shark  (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/1/13,Flathead (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/1/13,Flatfish (muscle),H-3:TFWT,0.067,,Bq/L
2023/1/13,Flatfish (muscle),H-3:TFWT,0.052,,Bq/kg-fresh
2023/1/13,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
